taxi_zone_id,taxi_zone_name,borough,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,1464,0.0020491803278688526,0.004337485271274471,0.006370988309586095,0.0529463263974396,-0.37082604751378945,99.61747413480366,199.99688326028124,0.002288304943405619
106,Gowanus,Brooklyn,1464,1.726775956284153,1.7469404684289387,1.2026133193859176,1.658791482033485,0.288119326050464,56.43649542230925,97.23380081526297,0.020164512144785787
107,Gramercy,Manhattan,1464,113.48224043715847,115.24660900862507,17.701221262388746,27.15651160927717,0.8756469686599042,22.203336256438696,19.246699304221718,1.7643685714665813
108,Gravesend,Brooklyn,1464,0.7192622950819673,0.903529159428351,0.7335198882329556,0.979301210377001,0.13418436640099052,50.45421344910079,138.45896242647447,0.18426686434638373
109,Great Kills,Staten Island,1464,0.007513661202185792,0.013997892915723464,0.021284484429543067,0.0969243758537,-0.06471576569522752,98.40300256108726,199.95726342340961,0.006484231713537671
110,Great Kills Park,Staten Island,1464,0.0,0.0020051239248349622,0.0020051239248349622,0.002882908108687332,0.0,,200.0,0.0020051239248349622
111,Green-Wood Cemetery,Brooklyn,1464,0.006830601092896175,0.058372441083350664,0.0642448189260307,0.12277125295187322,-1.221831517512737,92.98580580841778,199.83645236118173,0.05154183999045449
112,Greenpoint,Brooklyn,1464,8.847677595628415,8.634734883642203,3.3655550823711877,4.939122332462246,0.6984746761494053,58.032887886433656,48.92164844118579,-0.2129427119862126
113,Greenwich Village North,Manhattan,1464,80.8818306010929,82.05556167418754,12.60595599205528,17.802714122243366,0.8940653204785681,29.268447784834912,22.410901045893635,1.1737310730946433
114,Greenwich Village South,Manhattan,1464,82.50751366120218,79.8608769384542,14.872895182865214,27.71286673699005,0.8936142437938848,30.87419484454537,24.05067184344618,-2.6466367227479854
115,Grymes Hill/Clifton,Staten Island,1464,0.05122950819672131,0.058346436425654256,0.09487303566361836,0.24696527259118747,-0.024487490319666128,85.86983379106331,198.03013719771323,0.007116928228932942
116,Hamilton Heights,Manhattan,1464,12.951502732240437,13.363503054076373,4.140980813917086,5.85735002651796,0.565930581871565,46.77962234843119,36.04282023675334,0.4120003218359357
117,Hammels/Arverne,Queens,1464,1.4439890710382515,1.5035643232222002,1.0040297082664955,1.3994529755808844,0.36865424965595694,54.33906955167134,111.58930477382,0.05957525218394877
118,Heartland Village/Todt Hill,Staten Island,1464,0.03415300546448088,0.04075366466153658,0.07020639468524006,0.19212259499470058,-0.07447431389761894,93.00326548327946,199.22423290612406,0.006600659197055711
119,Highbridge,Bronx,1464,1.4323770491803278,1.4229903212762889,1.0216875119885795,1.4540581033823992,0.3359557086588074,51.21833079910321,109.38212673653808,-0.009386727904039195
120,Highbridge Park,Manhattan,1464,0.13524590163934427,0.21346534566852368,0.2910589245849389,0.42803372074014423,-0.25795885083301173,77.77073702910718,192.00052856451046,0.07821944402917942
121,Hillcrest/Pomonok,Queens,1464,1.0614754098360655,1.1654331068043644,0.9203991030027544,1.2311314982978352,0.06784580550112274,49.65501148042273,116.8320454184579,0.10395769696829868
122,Hollis,Queens,1464,0.6816939890710383,0.8175393395243385,0.7520287703182464,1.0116289452466822,0.07838116847397558,53.857332404779804,145.7578904959335,0.13584535045330026
123,Homecrest,Brooklyn,1464,1.0689890710382515,1.2088103898045752,0.9239018551709087,1.274722451763784,0.17743687334781377,54.17293195507933,124.26366451156082,0.13982131876632384
124,Howard Beach,Queens,1464,0.8135245901639344,0.922487224275604,0.8177653638738958,1.0606914159226248,-0.02171390708618115,49.18606445092287,129.74900333649924,0.10896263411166969
125,Hudson Sq,Manhattan,1464,26.784153005464482,27.32802135669929,6.204614779194058,8.450911389196575,0.788251600099232,40.282404615786966,32.16562771322553,0.5438683512348083
126,Hunts Point,Bronx,1464,1.0874316939890711,1.1127217510165541,0.9066356022432429,1.2196158916733568,0.1496257870073805,48.97494758880611,117.74959125967459,0.02529005702748308
127,Inwood,Manhattan,1464,3.120218579234973,3.211593022381893,1.6715468861928182,2.252303340301078,0.2809762690845088,66.85292875653155,68.33491418522591,0.09137444314692063
128,Inwood Hill Park,Manhattan,1464,0.26434426229508196,0.36952661438630713,0.4545546603095493,0.5883858956387547,-0.1713317698248744,64.00219369801354,178.1897383864965,0.10518235209122519
129,Jackson Heights,Queens,1464,6.837431693989071,6.690601272923418,2.7762337228091827,3.7704529087927168,0.24862076688753787,58.53202530788848,44.672679720766965,-0.1468304210656539
130,Jamaica,Queens,1464,5.3640710382513666,5.153542502489086,2.4054948049176508,3.2211095190964936,0.3201524403482435,62.3404357845743,52.15464610147964,-0.21052853576228048
131,Jamaica Estates,Queens,1464,0.9596994535519126,1.0378524880292463,0.8597314905727464,1.1495746238766578,0.1691619696301465,52.32709730864295,126.71502897005182,0.07815303447733359
132,JFK Airport,Queens,1464,225.72199453551912,231.63810851536974,41.84020292746099,58.83624051814274,0.8379764234591034,37.58457049150971,25.234808603464593,5.916113979850575
